Date,State,Confirmed,Recovered,Deceased
2020-05-08,Andaman and Nicobar Islands,0,0,0
2020-05-08,Andhra Pradesh,54,62,3
2020-05-08,Arunachal Pradesh,0,0,0
2020-05-08,Assam,6,0,1
2020-05-08,Bihar,29,49,0
2020-05-08,Chandigarh,11,0,1
2020-05-08,Chhattisgarh,0,2,0
2020-05-08,Daman and Diu,0,0,0
2020-05-08,Delhi,338,89,2
2020-05-08,Dadra and Nagar Haveli,0,0,0
2020-05-08,Goa,0,0,0
2020-05-08,Gujarat,390,163,24
2020-05-08,Himachal Pradesh,4,0,0
2020-05-08,Haryana,22,19,1
2020-05-08,Jharkhand,22,0,0
2020-05-08,Jammu and Kashmir,30,29,0
2020-05-08,Karnataka,48,10,0
2020-05-08,Kerala,1,10,0
2020-05-08,Ladakh,0,1,0
2020-05-08,Lakshadweep,0,0,0
2020-05-08,Maharashtra,1089,169,37
2020-05-08,Meghalaya,0,0,0
2020-05-08,Manipur,0,0,0
2020-05-08,Madhya Pradesh,89,118,7
2020-05-08,Mizoram,0,0,0
2020-05-08,Nagaland,0,0,0
2020-05-08,Odisha,51,1,0
2020-05-08,Punjab,87,3,1
2020-05-08,Puducherry,1,2,0
2020-05-08,Rajasthan,152,122,4
2020-05-08,Sikkim,0,0,0
2020-05-08,Telangana,10,34,0
2020-05-08,Tamil Nadu,600,58,3
2020-05-08,Tripura,30,0,0
2020-05-08,Uttar Pradesh,143,137,4
2020-05-08,Uttarakhand,2,6,0
2020-05-08,West Bengal,130,27,9
